State,Program Name,Program type,Statewide or region-specific?,Federal operating authority,Program start date ,Waiver expiration date (if applicable),"If the program ended in 2014, indicate the end date",Populations enrolled,Low-income Adults not eligible under ACA Section VIII,"Aged, Blind or Disabled Children or Adults",Non-Disabled Children (excluding children in foster care or receiving adoption assistance),Individuals receiving Limited Benefits,Low-income adults eligible under ACA Section VIII,Full Duals,Partial Duals,Children with Special Health Care Needs,Native American/Alaskan Natives,Foster Care and Adoption Assistance Children,Enrollment choice period,Enrollment broker name (if applicable),Notes on enrollment choice period,Benefits covered,Inpatient hospital physical health,Inpatient hospital behavioral health (MH and/or SUD),Outpatient hospital physical health,Outpatient hospital behavioral health (MH and/or SUD),Partial hospitalization,Physician,Nurse practitioner,Rural health clinics and FQHCs,Clinic services,Lab and x-ray,Prescription drugs and prosthetic devices,EPSDT,Case management,Health home (SSA 1945),Family planning,Dental services (medical/surgical),Dental (preventative or corrective),Home health agency services,Personal care (state plan option),HCBS waiver services,Private duty nursing,ICF-IDD,Nursing facility services,Hospice care,Non-Emergency Medical Transportation,"Other (e.g., nurse midwife services, freestanding birth centers, podiatry, etc.)",Quality assurance and improvement,HEDIS data required?,CAHPS data required?,Accreditation required?,Accrediting organization,EQRO contractor name (if applicable),Performance incentives?,Payment bonuses/differentials to reward plans,Preferential auto-enrollment to reward plans,Public reports comparing MCO performance on key metrics,Withholds tied to performance metrics,MCOs/PHPs required/encouraged to pay providers for value/quality outcomes using shared-risk or shared-savings methods,Provider Value-Based Purchasing,State pays provider-based entities (such as ACOs or PCMHs) directly for value/quality outcomes using shared-risk or shared-savings methods,Participating plans and regions served,Plans in Program,Notes,Program notes,Year,Location
Pennsylvania,HealthChoices - Physical Health,Comprehensive MCO,Statewide,1915(b),02/01/1997,12/31/2021,,,Mandatory,Mandatory,Mandatory,Mandatory,,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,,X,,X,,,X,X,X,X,X,X,X,X,X,X,X,X,,X,,X,X,X,X,X,"Nurse midwife services, freestanding birth centers, podiatry, chiropractic services, optometrists, renal dialysis center, ambulatory surgical center, medical supplies & equipment, home health (visiting nurse).",,Yes,Yes,Yes,"NCQA, Nationally Recognized Organization",Island Peer Review Organization (IPRO),,X,,X,X,X,,,,"UPMC for You Inc.; Aetna Better Health; Gateway Health Plan; United Healthcare Community Plan of Pennsylvania; Health Partners of Philadelphia, Inc.; Geisinger Health Plan; Vista",,"Private Duty Nursing is only covered for children under 21 years old. Only children under 21 years old, Full Dual and Partial Dual, are enrolled mandatorily in HealthChoices.                                                                                                                                                                                                                                                                       PA Health Choices Physical and Behavioral Health operate under a single statewide 1915(b) waiver but are administered separately.",2016,"Pennsylvania
(40.896694, -77.838886)"
District of Columbia,Medicaid Managed Care Program,Comprehensive MCO,Statewide,"1932(a),1945 Health Homes",04/01/1994,,,,,,Mandatory,,,Voluntary,,,,Mandatory,,Voluntary,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,,,,,X,X,Freestanding birth centers,,Yes,Yes,Yes,NCQA,Delmarva,,X,,X,X,,,,,Trusted Health Plan; Medstar Family Choice; AmeriHealth District of Columbia,,Full duals are eligible for enrollment if there is a Medicaid-enrolled dependent child in the household.,2016,"District of Columbia
(38.904785, -77.016275)"
Washington,Healthy Options - Blind Disabled,Comprehensive MCO,Statewide,1915(b),07/01/2012,06/30/2017,,,,Mandatory,,,,,,,Mandatory,,,,,,X,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,X,,X,X,,,,Yes,Yes,Yes,NCQA,Qualis,,,,,,,,,,Amerigroup; Community Health Plan of Washington; Coordinated Care of Washington; Molina; United Health Care,,,2016,"Washington
(47.411715, -120.592492)"
Maine,NET,Non-Emergency Medical Transportation,Statewide,1915(b),08/01/2011,12/31/2016,,,,Mandatory,Mandatory,,,Mandatory,,,Mandatory,Mandatory,,Mandatory,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,No,No,No,,,,,,,,,,,,Logisticare; MidCoast Connector; Penquis CAP,,,2016,"Maine
(45.117911, -69.06137)"
Texas,NorthSTAR,Behavioral Health Organization (BHO) only (PIHP and/or PAHP),Statewide,1915(b),11/01/1999,43008,42735,,,Mandatory,,,,Mandatory,Mandatory,,Mandatory,,,Mandatory,Mandatory,,,X,,X,X,X,,,,X,,,X,,,,,,,,,,,,,,,Yes,No,Yes,URAC,Institute for Child Health Policy,,,,,,,,,,ValueOptions,,"Individuals on SSI and QMB plus are the only Medicare dual eligibles that are eligible to enroll. The program is mostly fee-for-service but on occasions there are some risk based arrangement. NorthSTAR covers labs, but not X-Rays.  Pregnant women in Medicaid Medically Needy Population are excluded from NorthSTAR.",2016,"Texas
(31.447238, -99.317341)"
Wisconsin,Children Come First (CCF),Behavioral Health Organization (BHO) only (PIHP and/or PAHP),County: Dane,1915(a),04/01/1993,,,,,,,,,,,,,,,,,,,X,,X,,,,,,,,,X,,,,,,,,,,,,,,,No,No,No,,"MetaStar, Inc.",,,,,,,,,,Children Come First,,,2016,"Wisconsin
(44.639954, -89.732969)"
Utah,UNI HOME,Comprehensive MCO,Statewide,1915(a),07/01/2011,06/30/2021,,,,Voluntary,,,,Voluntary,Voluntary,,Voluntary,,,Voluntary,Voluntary,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,X,,X,,,X,,"Vision, podiatry, dialysis, DME, inpatient medical detox, nurse midwife services, free standing birth centers, ambulatory surgical centers.",,Yes,Yes,No,,Health Services Advisory Group,,,,,,,,,,HOME,,Qualifications for enrollment in this program are 1) mental or behavioral health condition and 2) developmental disability.,2016,"Utah
(39.323779, -111.678222)"
Nevada,Health Care Guidance Program (HCGP),Primary Care Case Management (PCCM),Statewide,1115(a) (Medicaid demonstration waivers),06/01/2014,06/30/2018,,,Mandatory,Mandatory,Mandatory,,,,,Mandatory,Mandatory,Mandatory,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,Yes,Yes,"No, but accreditation considered in plan selection criteria",Vendor is contractually required to adhere to NCQA standards,Nevada and Health Services Advisory Group,,X,,X,,,,,,Axis Point Health,,,2016,"Nevada
(39.283294, -114.916992)"
Louisiana,Healthy Louisiana (MCO),Comprehensive MCO,Statewide,1932(a),02/01/2012,,,,Mandatory,Varies,Mandatory,,,,,Mandatory,Varies,Mandatory,,,,,X,,X,,,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,X,"Similar to Private Duty Nursing, Louisiana offers Extended Home Nursing to recipients under 21 only; Certified Nurse Midwives are covered and practice within the scope of their license; Podiatry services are covered, but limited to a list of payable procedures.",,Yes,Yes,Yes,"NCQA, URAC",IPRO,,,,X,X,,,,,Aetna Better Health Louisiana; Amerigroup Louisiana; AmeriHealth Caritas Louisiana; Louisiana Healthcare Connections; UnitedHealthcare Community Plan,,"Adults who are aged, blind or disabled are manditorily enrolled.  Children who are blind or disabled are voluntarily enrolled.",2016,"Louisiana
(30.921314, -91.840238)"
Iowa,Dental Wellness Plan,Dental only (PAHP),Statewide,1115(a) (Medicaid demonstration waivers),05/01/2014,01/01/2020,,,Mandatory,,,,,,,Mandatory,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,No,No,No,,,,,,,,,,,,Delta Dental of Iowa,,"A second plan option (MCNA) was added to the Dental Wellness Plan, but after July 1, 2016; all members at this time were only assigned to Delta.",2016,"Iowa
(42.074659, -93.500061)"
California,Two-Plan Model,Comprehensive MCO + MLTSS,"Fresno , Kings, Madera, Alameda, Contra Costa, Kern, Los Angeles, Riverside, San Bernardino, San Francisco, San Joaquin, Santa Clara, Tulare, Stanislaus",1115(a) (Medicaid demonstration waivers),01/01/1996,12/31/2020,.,.,Mandatory,Mandatory,Mandatory,.,Mandatory,Voluntary,.,.,Voluntary,Voluntary,Other,Haelth Care Operations (Maximus),Approximately 45 days,.,X,.,X,.,.,X,X,X,X,X,X,X,X,.,X,.,.,.,X,X,X,X,X,X,X,.,.,Yes,Yes,No,URAC,Health Service Advisor Group,.,.,X,X,.,.,.,.,.,Alameda Alliance for Health; Contra Costa Health Plan; Kern Health Systems; LA Care; Inland Empire Health Plan/Riverside; Inland Empire Health Plan/San Bernardino; San Francisco Health Plan; Health Plan of San Joaquin/San Joaquin; Santa Clara Family Health Plan; Anthem Blue Cross/Tulare; Health Plan of San Joaquin/Stanislaus; CalViva Health Fresno; CalViva Health Kings; CalViva Health Madera; Anthem Blue Cross/Alameda; Anthem Blue Cross/San Francisco; Anthem Blue Cross/Contra Costa; Anthem Blue Cross/Santa Clara; Health Net / LA; Health Net/Tulare; Health Net/San Joaquin; Molina Healthcare/Riverside; Molina Healthcare/San Bernardino; Health Net/Kern; Health Net/Stanislaus; Anthem Blue Cross/Fresno; Anthem Blue Cross/Kings; Anthem Blue Cross/Madera,.,"MLTSS benefits are available in the counties where Californias Financial Alignment Initiative program, Cal-MediConnect operates, to Medicaid-only beneficiaries and to Medicare-Medicaid beneficiaries who opt out or who are not eligible for Cal-MediConnect and meet MLTSS eligibility requirements.",2014,"California
(37.211164, -119.662127)"
Colorado,Accountable Care Collaborative: Rocky Mountain Health Plans Prime (ACC: RMHP Prime),Comprehensive MCO,"Garfield, Gunnison, Mesa, Montrose, Pitkin and Rio Blanco Counties",1932(a),09/01/2014,,,,Voluntary,Voluntary,,,,Voluntary,,Voluntary,Voluntary,,,Voluntary,,,X,,X,,,X,X,X,X,X,X,X,,X,X,,,,X,,,,,,,Durable Medical Equipment,,Yes,Yes,No,,"Health Services Advisory Group, Inc.",,X,,X,,,,,,Accountable Care Collaborative: Rocky Mountain Heatlh Plans Prime (ACC: RMHP Prime),,"Accountable Care Collaborative: Rocky Mountain Health Plans Prime tests two main payment methodologies designed to prioritize value-based care over volume-based care. First, the Department’s payment to RMHP is tied to quality through a medical loss ratio (MLR). RMHP’s MLR is adjusted down for every quality target they meet or surpass. Second, RMHP establishes a global budget with both primary care providers and community mental health centers and provides an opportunity for shared savings if quality targets are met. This shared savings structure incentivizes primary care and behavioral health providers to collaborate in new and innovative ways that improve health care delivery.  RMHP also offers Health Plan Performance incentives by paying providers for value/quality outcomes using shared-risk or shared-savings method.",2016,"Colorado
(38.998552, -105.547832)"
Michigan,Specialty Prepaid Inpatient Health Plan,Behavioral Health Organization (BHO) only (PIHP and/or PAHP),Statewide,1915(b)/1915(c),10/01/1998,06/30/2017,,,Mandatory,Mandatory,Mandatory,Mandatory,,Voluntary,Voluntary,Mandatory,Mandatory,Mandatory,Mandatory,Voluntary,Voluntary,,,,,,,,,,,,,,,,,,,,,X,,,,,,"Assertive Community Treatment, Assessments, Assistive Technology, Behavior Management Review, Child Therapy, Clubhouse, Community Living Supports, Crisis Interventions, Crisis Residential, Enhanced Pharmacy, Environmental Modifications",,No,No,No,,,,,,,,,,,,CMH Partnership of Southeast Michigan; Detroit Wayne Mental Health Authority; Lakeshore Regional Entity; Macomb County CMH Services; Mid-State Health Network; Northcare Network; Northern Michigan Regional Entity; Oakland County CMH Authority; Region 10 PIHP; Southwest Michigan Behavioral Health,,The state does not report any dual enrollment in SPHIP because it is not able to identify duals in the data for this program.,2016,"Michigan
(44.874798, -85.730977)"
Minnesota,Preferred Integrated Network (PIN),Comprehensive MCO + MLTSS,Statewide,1915(a),09/01/2009,,,,,Voluntary,,,,,,,Voluntary,,,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,X,,X,,X,,,Yes,Yes,No,,Michigan Peer Review Organization,,,X,,X,,,,,Medica,,,2016,"Minnesota
(46.349153, -94.198308)"
Oregon,PACE,Program of All-inclusive Care for the Elderly (PACE),Statewide,PACE,01/01/1986,,,,,,,,,Voluntary,Voluntary,,,,,Voluntary,Voluntary,,X,X,X,X,X,X,X,,X,X,X,,X,X,,X,X,,X,X,,,X,X,X,"Medications (OTC and RX), Mental Health Care, DME, Speech/ Physical/ Occupational/ Recreational Theraputic Services, Audiology/ Optical/ Podiatry Specialty Medical Care, Occupational and Physical Therapy and Social Services",,No,No,No,NCQA,,,X,,,,,,,,Providence Elder Place,,,2016,"Oregon
(43.940449, -120.605279)"
Massachusetts,Senior Care Options,Comprehensive MCO + MLTSS,"Counties of Barnstable, Bristol, Essex, Franklin, Hampden, Hampshire, Middlesex, Norfolk, Plymouth, Suffolk, and Worcester",1915(a)/1915(c),07/01/2004,12/31/2018,,,,,,,,Voluntary,Voluntary,,,,,Voluntary,Voluntary,,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,,X,X,X,,X,X,X,All LTSS and waiver services,,Yes,No,No,,KEPRO,,,,X,,,,,,Boston Medical Center HealthNet Plan; United HealthCare; Senior Whole Health; Navicare HMO; Commonwealth Care Alliance; Tufts Health Plan,,"The SCO program is a voluntary program offered to MassHealth members age 65 and older residing in the service area of a Senior Care Organization. The SCO program is available in 11 of the 14 counties in Massachusetts, excluding the far west and island counties. The SCO program covers all medically necessary Medicaid and Medicare covered services (there are no wrap services) through a robust provider network. Each enrollee must select a PCP upon enrollment, receives care coordination and participates and signs off on the development of his/her care plan. Each Senior Care Organization is also a Medicare Advantage Dual Eligible Special Needs Plan.",2016,"Massachusetts
(42.151077, -71.481104)"
Illinois,Integrated Care Program (ICP),Comprehensive MCO + MLTSS,"Boone, Champaign, Christian, Clinton, Cook, DeWitt, DuPage, Ford, Henry, Kane, Kankakee, Knox, Lake, Logan, Macon, Madison, McHenry, McLean, Menard, Mercer, Peoria, Piatt, Rock Island, Sangamon, St. Clair, Stark, Tazewell, Vermilion, Will and Winnebago counties",1932(a)/1915(c),05/01/2011,09/30/2019,,,,Mandatory,,,,,,,Mandatory,,,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,X,X,,X,X,X,"Ambulatory surgical treatment center, chiropractic, durable medical equipment, hearing, immunization, physical therapy, renal dialysis services, speech therapy, vision",,Yes,Yes,Yes,NCQA,Health Services Advisory Group,,,,X,X,X,,,,Aetna Better Health; Blue Cross Blue Shield of Illinois; Cigna-HealthSpring of Illinois; Community Care Alliance of Illinois; CountyCare; Health Alliance Connect; Humana Health Plan; IlliniCare Health Plan; Meridian Health Plan; Molina Healthcare of Illinois; NextLevel Health Partners,,Dual eligibles are not allowed to enroll in the ICP program. Health Alliance Connect ended service to the program (and all its Illinois Medicaid products) effective 12/31/2016.,2016,"Illinois
(40.124144, -89.148632)"
South Carolina,SC PACE,Program of All-inclusive Care for the Elderly (PACE),Richland/Orangeburg/Greenville Counties,PACE,01/01/1990,,,,,Voluntary,,,,Voluntary,,,Voluntary,,,Voluntary,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,X,,,X,X,,X,,,,,No,No,No,,,,,,,,,,,,Palmetto Senior Care; The Oaks,,,2016,"South Carolina
(33.878572, -80.864614)"
Nebraska,Nebraska Physical Health Managed Care,Comprehensive MCO,Statewide,"1915(b),1932(a)",07/01/1995,06/30/2017,12/31/2016,,Mandatory,Mandatory,Mandatory,Mandatory,,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,,X,,X,,X,X,X,X,X,X,,X,X,X,X,,,,,,X,,,,,"Podiatry, Hearing, Immunization, Speech Therapy, Vision, Chiropractic, Durable Medical Equipment (DME), Occupational Therapy, Freestanding birth center",,Yes,Yes,Yes,"NCQA, URAC",Island Peer Review Organization (IPRO),,,,,,,,,,Amerihealth Caritas (D.B.A. Arbor Health Plan); Coventry Health Care of Nebraska (D.B.A. Aetna); United Health Care of Nebraska,,,2016,"Nebraska
(41.527099, -99.810595)"
North Dakota,North Dakota Medicaid Expansion,Comprehensive MCO,Statewide,"1915(b),1937 Alt Benefit Plan",01/01/2014,43100,,,Mandatory,,,,,,,Mandatory,,,,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,X,X,Up to 30 days of SNF coverage,,Yes,Yes,No,,Delmarva,,,,,,,,,,ND Medicaid Expansion - Sanford Health Plan,,"In order for the State to provide the Medicaid Expansion MCO through private carriers including mandatory enrollment, an initial 1915(b) waiver allowing managed care enrollment of the new adult group for Medicaid expansion was submitted to CMS with authority granted. The 1915(b) waiver renewal was submitted to CMS for 2016-2017 with authority granted. In addition, CMS granted initial authority through an 1115 waiver to ensure compliance as related to having one health plan choice for those Medicaid Expansion recipeints in urban areas of the State.  CMS extended this 1115 waiver authority until such time that the Final Medicaid Managed Care CFR were published (May 6, 2016) - with the changes noted at 42 CFR § 438.52(b)(1) and (b)(3) the 1115 waiver was no longer needed.  Per the Medicare Advantage Health Service Delivery (HSD) Reference file for the applicable calendar year, ND no longer has any counties designated as being urban thus the State may limit rural area residents to a single MCO.",2016,"North Dakota
(47.446305, -100.46931)"
Oklahoma,PACE,Program of All-inclusive Care for the Elderly (PACE),"74464, 74427, 74451, 74471, 74444, 74452, 74441, 74465, 74352, 74364, 74368, 74359, 74423, 7 4403, 74434, 74347, 74964, 74965, 74960, 74457, 74401, 74402, 74446, 74439,  74103, 74104, 74105, 74106, 74110, 74112, 74114, 74115, 74119, 74120, 74127, 74128, 74129, 74130, 74132, 74133, 74136, 74137, 74145, 74146, 74134, 74135, 74117, 74116, 74108, 74126, 74106, 73008, 73140, 73105, 73121, 73141, 73155, 73179, 73106, 73124, 73142, 73156, 73184, 73132, 73179, 73143, 73157, 73185, 73165, 73160, 73108, 73026, 73003, 73170, 73109, 73127, 73146, 73162, 73190, 73147, 73163, 73194, 73013, 73120, 73112, 73129, 73025, 73066, 73113, 73131, 73149, 73167, 73196, 73134, 73150, 73169, 73198, 73083, 73102, 73117, 73084, 73110,  7313, 73118, 73137, 73152, 73173, 73119, 73139, 73154, 73178, 73122, 73012, 73123, 73153, 73144, 73116, 73148, 73034, 73136, 73120, 73115, 73107, 73159, 73111, 73164, 73101, 73151, 73130, 73145, 73125, 73189, 73128, 73195, 73114, 73172, 73104",PACE,08/01/2008,,,,,Voluntary,,,,Voluntary,Voluntary,,Voluntary,,,Voluntary,Voluntary,,X,X,X,X,X,X,X,,X,X,X,,X,X,,X,X,,X,,X,,X,X,X,"Podiatry, Speech Therapy, Disease Management, Hearing, Institutional, Occupational Therapy, Physical Therapy, Skilled Nursing Facility, Vision",,No,No,No,,,,,,,,,,,,Cherokee Elder Care (CEC); Life PACE; Valir PACE,,,2016,"Oklahoma
(35.583449, -97.508297)"
California,Regional Model,Comprehensive MCO,"Alpine, Amador, Butte, Calaveras, Colusa, El Dorado, Glenn, Imperial, Inyo, Mariposa, Mono, Nevada, Placer, Plumas, San Benito, Sierra, Sutter, Tehama, Tuolumne, Yuba",1115(a) (Medicaid demonstration waivers),10/01/2013,12/31/2020,.,.,Mandatory,Mandatory,Mandatory,.,Mandatory,Voluntary,.,.,Voluntary,Voluntary,Other,.,Approximately 45 Days,.,X,.,X,.,.,X,X,X,X,X,X,X,X,.,X,.,.,.,.,.,.,.,.,X,X,.,.,Yes,Yes,No,URAC,.,.,.,X,X,.,.,.,X,.,Anthem Blue Cross/Alpine; Anthem Blue Cross/Amador; Anthem Blue Cross/Butte; Anthem Blue Cross/Calaveras; Anthem Blue Cross/Colusa; Anthem Blue Cross/El Dorado; Anthem Blue Cross/Glenn; Anthem Blue Cross/Inyo; Anthem Blue Cross/Mariposa; Anthem Blue Cross/Mono; Anthem Blue Cross/Nevada; Anthem Blue Cross/Placer; Anthem Blue Cross/Plumas; Anthem Blue Cross/Sierra; Anthem Blue Cross/Sutter; Anthem Blue Cross/Tehama; Anthem Blue Cross/Tuolumne; Anthem Blue Cross/Yuba; California Health & Wellness/Alpine; California Health & Wellness/Amador; California Health & Wellness/Butte; California Health & Wellness/Calaveras; California Health & Wellness/Colusa; California Health Wellness/El Dorado; California Health & Wellness/Glenn; California Health & Wellness/Inyo; California Health & Wellness/Mariposa; California Health & Wellness/Mono; California Health & Wellness/Nevada; California Health & Wellness/Placer; California Health & Wellness/Plumas; California Health & Wellness/Sierra; California Health & Wellness/Sutter; California Health & Wellness/Tehama; California Health & Wellness/Tuolumne; California Health & Wellness/Yuba; Kaiser/Amador; Kaiser/El Dorado; Kaiser/Placer; Anthem Blue Cross/San Benito; California Health & Wellness/Imperial; Molina Health Care/Imperial,.,.,2014,"California
(37.211164, -119.662127)"
Kansas,PACE,Program of All-inclusive Care for the Elderly (PACE),"Sedgwick, Shawnee, Douglas, Jackson, Jefferson, Osage, Pottawatomie, Wabaunsee Counties",PACE,08/01/2002,,,,,Voluntary,,,,Voluntary,Voluntary,,Voluntary,,,Voluntary,Voluntary,,X,X,X,X,X,X,X,,X,X,X,,,,,X,X,,,,,,X,X,X,"Adult day care, recreational therapy, meals, social services, social work counseling, etc.",,No,No,No,,,,,,,,,,,,Via Christi; Midland,,,2016,"Kansas
(38.484729, -98.38018)"
Washington,Fully Integrated Managed Care (FIMC),Comprehensive MCO,,"1932(a),1945 Health Homes",04/01/2016,,,,Mandatory,Mandatory,Mandatory,,,,,Mandatory,Mandatory,Mandatory,,,,,X,X,X,X,X,X,X,X,X,X,,,,X,X,X,,,X,,X,,X,X,,,,Yes,Yes,Yes,NCQA,Qualis,,,,,,,,,,Molina Health Care; Community Health Plan of WA,,,2016,"Washington
(47.411715, -120.592492)"
Maryland,Program of All-Inclusive Care for the Elderly (PACE),Program of All-inclusive Care for the Elderly (PACE),"21052, 21202, 21205, 21206, 21213, 21214, 21217, 21218, 21219, 21220, 21221, 21222, 21224, 21227, 21231, 21237",PACE,11/01/2002,,,,,,,,,Voluntary,Voluntary,,,,,Voluntary,Voluntary,,,,,,,,,,,,,,,,,,,,,,,,,,,All benefits listed under 42 CFR 460.90 - 460.106,,No,No,No,,,,,,,,,,,,Hopkins Elder Plus,,,2016,"Maryland
(38.946466, -76.687282)"
Texas,STAR Health,Comprehensive MCO,Statewide,1915(a),04/01/2008,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,,,,X,"Diagnostic services, podiatrist services, medical supplies, non-prescription drugs, eye glasses, preventive services, nurse midwife services, and pediatric or family nurse",,Yes,Yes,"No, but accreditation considered in plan selection criteria","NCQA, URAC",Institute of Child Health Policy,,,,,,,,,,Superior Health Plan,,,2016,"Texas
(31.447238, -99.317341)"
Nevada,Non-Emergency Transportation (NET),Non-Emergency Medical Transportation,Statewide,1902(a)(70) NEMT,10/31/1998,,,,Mandatory,Mandatory,Mandatory,,,,,Mandatory,Mandatory,Mandatory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,No,No,No,,,,,,,,,,,,"Medical Transportation Management, Inc (MTM)",,,2016,"Nevada
(39.283294, -114.916992)"
New York,Medicaid Advantage,Comprehensive MCO,Statewide,1115(a) (Medicaid demonstration waivers),10/01/2006,03/31/2021,,,,,,,,Voluntary,,,,,,Voluntary,,,X,X,X,X,,X,X,,X,X,X,,X,X,,X,X,,X,,X,,X,,X,"Podiatry, Outpatient Rehabilitation, Hearing Services, Vision Care Services",,No,No,No,,Island Peer Review Organization,,,,,,,,,,VNS Choice; Wellcare; Affinity; HIP of Greater New York; Liberty Health Advantage; Metroplus; NYS Catholic Health Plan/Fidelis; Touchstone/Prestige; United Healthcare,,,2016,"New York
(42.921241, -75.59655)"
Wyoming,Care Management Entity for Emotionally Disturbed Children,Other Prepaid Health Plan (PHP) (limited benefits),Statewide,1915(b)/1915(c),09/01/2015,06/30/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,X,,,,,,"Targeted case management State Plan Authority including family care coordinators, youth peer support partners, family support partners. All individuals receive respite.",,No,No,Yes,"URAC, Council on Accreditation COA",Navigant,,X,,,X,,,,,CME Statewide,,,,"Wyoming
(42.999627, -107.55145)"
Pennsylvania,HealthChoices - Behavioral Health,Behavioral Health Organization (BHO) only (PIHP and/or PAHP),Statewide,1915(b),01/01/1999,12/31/2021,,,Mandatory,Mandatory,Mandatory,Mandatory,,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,,,X,,X,X,X,,X,X,,,X,X,,,,,,,,,,,,,"Psychiatric Rehabilitation, Peer Specialist Services",,Yes,No,Yes,"JCAHO, For Inpatient, Outpatient",Island Peer Review Organization (IPRO),,X,,,,,,,,Adams - Community Care BHO; Allegheny  - Community Care BHO; Beaver - Value Behavioral Health of Pennsylvania; Behavioral Health Services of Bedford and Somerset - Performcare; Berks - Community Care BHO; Blair - Community Care BHO; Bucks - Magellan Behavioral Health of Pennsylvania; Cambria - Value Behavioral Health of Pennsylvania; Carbon-Monroe-Pike Joinder Board - Community Care BHO; Chester - Community Care BHO; Cumberland - PerformCare; Dauphin - PerformCare; Delaware - Magellan Behavioral Health of Pennsylvania; Erie - Community Care BHO; Fayette - Value Behavioral Health of Pennsylvania; Greene (Commonwealth) - Value Behavioral Health of Pennsylvania; Lancaster - PerformCare; Lebanon - PerformCare; Lehigh - Magellan Behavioral Health of Pennsylvania; Lycoming-Clinton Joinder Board - Community Care BHO; Montgomery - Magellan Behavioral Health of Pennsylvania; North Central State Option - Community Care BHO; Northampton - Magellan Behavioral Health of Pennsylvania; Northeast Behavioral Health Care Consortium - Community Care BHO; Northwest Behavioral Health Partnership - Value Behavioral Health of Pennsylvania; Perry - PerformCare; Philadelphia - Community Behavioral Health; Southwest Behavioral Health Management - Value Behavioral Health of Pennsylvania; Tuscarora Managed Care Alliance - PeformCare; York - Community Care BHO,,Pennnsylvania HealthChoices-Behavioral Health program operates statewide with some minor variation in benefits covered by county.                                                                                                                                                                                                                                                                                 PA Health Choices Physical and Behavioral Health operate under a single statewide 1915(b) waiver but are administered separately.,2016,"Pennsylvania
(40.896694, -77.838886)"
Delaware,Saint Francis Life,Program of All-inclusive Care for the Elderly (PACE),New Castle County,PACE,02/01/2013,,,,,Voluntary,,,,Voluntary,,,Voluntary,,,Voluntary,,,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,,X,X,X,X,X,X,X,,,Yes,Yes,"No, but accreditation considered in plan selection criteria",NCQA,Mercer Government Human Services Consulting,,,,,,,,,,Saint Francis Life,,,2016,"Delaware
(38.994926, -75.452394)"
Idaho,Idaho Smiles,Dental only (PAHP),Statewide,1915(b),08/01/2007,12/31/2016,,,,Mandatory,Mandatory,Mandatory,,,,,Mandatory,Mandatory,Mandatory,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,No,Yes,No,,,,,,,X,,,,,Idaho Smiles,,The waiver for Idaho Smiles expired 12/31/2016 and is currently pending an approval for renewal and extension by CMS which would extend the waiver to 12/31/2021.,2016,"Idaho
(44.389073, -114.659366)"
